客户名称,项目名称,项目内容相关信息,项目所在城市,项目发布时间,中标公司,价格
河北机电职业技术学院,河北机电职业技术学院设备更新改造等项目（贴息贷款）一标段中标公告,航唯实机器人科技股份有限公司 数字孪生基础教学实训台、管控一体化 ME,邢台,2022-12-21,北京华航唯实机器人科技股份有限公司,4681220
河北省科学院应用数学研究所,河北省科学院应用数学研究所数字孪生交通仿真平台成交公告,,石家庄,2023-6-19,中国移动通信集团河北有限公司,584900
河北省水务中心,数字孪生黄壁庄水库工程建设先行先试项目中标结果公告,,河北,2023-5-26,浙江贵仁信息科技股份有限公司,5518849
河南黄河河务局信息中心,河南黄河河务局信息中心2022年河南黄河信息化建设项目马渡工程数字孪生试点成交公告,,河南,2022-12-1,河南环宇通信工程有限公司,497800
河南科技大学,河南科技大学高端装备科研创新团队建设设备及软件项目（四次）（第1包）-成交公告,有）规格型号数量单价1数控加工数字孪生软件系统西门子MCS4250F/,洛阳,2023-5-9,湖北鼎信力创工业科技有限公司,494500
河南科技大学,河南科技大学高端装备科研创新团队建设设备及软件项目（四次）（第1包）-成交公告,型号 数量 单价 1 数控加工数字孪生软件系统 西门子 MCS4250,河南,2023-3-27,湖北鼎信力创工业科技有限公司,494500
河南省省直机关综合办公楼管理中心,河南省省直机关综合办公楼网络中心系统集成维保项目成交公告,、登记管理系统、动环监控系统、数字孪生系统（在建）、安消系统（在建）等,郑州,2022-10-8,中科九州科技股份有限公司,497600
河南省豫资保障房管理运营有限公司,龙湖金融中心C4-09号楼数字孪生楼宇建设项目中标结果公告,,郑州,2022-10-24,杭州宇泛智能科技有限公司,9787867
河南豫资绿色生活产业发展有限公司,朱仙镇正向BIM和数字孪生项目-结果公告,,开封,2023-6-16,河南省联合旅游产业发展有限公司,10860000
贺州市平桂区投资促进服务中心,广西宏远工程项目管理有限公司关于贺州市平桂区招商辅助数字孪生平台建设项目的成交公告,,贺州,2023-3-29,壹瞰数字科技广西有限公司,977500
贺州市平桂区投资促进服务中心,广西宏远工程项目管理有限公司关于贺州市平桂区招商辅助数字孪生平台建设项目的成交公告,,贺州,2023-3-29,壹瞰数字科技广西有限公司,977500
贺州市平桂区投资促进服务中心,贺州市平桂区投资促进服务中心贺州市平桂区招商辅助数字孪生平台建设项目成交公告,,广西,2023-3-29,壹瞰数字科技广西有限公司,977500
鹤岗市关门嘴子水库开发建设管理局,鹤岗市关门嘴子水库工程数字孪生先行先试建设项目,,鹤岗,2023-4-3,黑龙江省水利水电勘测设计研究院,19800000
黑龙江省水利水电勘测设计研究院,大型水库工程数字孪生建设项目业务应用开发服务项目中标公示,,黑龙江,2023-6-2,松辽水利委员会水文局信息中心,7721400
黑龙江职业学院,黑龙江职业学院专业虚拟仿真实训中心—智慧工厂仿真实训室（智能）结果公告,00 1-27 行业应用软件 数字孪生系统 领智 LZ-ZJRJ-01,哈尔滨,2022-11-7,哈工大机器人创新中心有限公司,3997750
红塔烟草集团有限责任公司大理卷烟厂,2022年复烤片区数字工厂智能管控可视化平台的搭建与应用探索-中标人确认单公告,果公示如下： 一标段：复烤片区数字孪生工厂可视化平台 中标人单位名称：,大理,2022-9-19,,0
红塔烟草集团有限责任公司大理卷烟厂,红塔烟草（集团）有限责任公司大理卷烟厂2022年复烤片区数字工厂智能管控可视化平台的搭建与应用探索中标结果公示,果公示如下： 一标段：复烤片区数字孪生工厂可视化平台 中标人单位名称：,大理,2022-9-19,杭州安脉盛智能技术有限公司,0
红塔烟草集团有限责任公司大理卷烟厂,红塔烟草（集团）有限责任公司大理卷烟厂2022年复烤片区数字工厂智能管控可视化平台的搭建与应用探索中标候选人公示,、评审结果： 一标段：复烤片区数字孪生工厂可视化平台 第一中标候选人：,大理,2022-9-8,杭州安脉盛智能技术有限公司,1870900
湖北工业大学,湖北工业大学机器人数字孪生系统中标(成交)结果公告,,武汉,2023-5-6,武汉佳光鑫晨机电工程有限公司,2088000
湖北工业大学,湖北工业大学机器人数字孪生系统采购项目竞争性磋商公告成交公告,,湖北,2023-2-13,武汉佳光鑫晨机电工程有限公司,2088000
湖北工业大学,机器人数字孪生系统成交公告,,武汉,2023-2-13,武汉佳光鑫晨机电工程有限公司,2088000
湖北工业大学,湖北工业大学元宇宙工厂采购中标结果公告,、触控一体工作站、智能制造工厂数字孪生软件、HTC VIVE PRO,武汉,2022-8-25,湖北朗祺视讯科技有限公司,3286200
湖北国际物流机场有限公司,“智慧机场”关键技术研发类专利导航服务及知识产权贯标咨询辅导服务 采购项目成交结果公告,内容： （1）根据鄂州花湖机场数字孪生、无人驾驶等“智慧机场”相关技术,鄂州,2022-7-12,天启黑马信息科技武汉有限公司,350000
湖北交投京港澳高速公路改扩建项目管理有限公司,京港澳高速公路湖北境鄂豫界至军山段改扩建工程公路工程工业化智慧建造关键技术及产业化研究揭榜挂帅科技项目招标JBGS-1标段评标结果公示,范; 3、基于 BIM 的安全数字孪生工地关键技术研究; 4、千吨级梁,武汉,2023-4-23,华中科技大学,3440000
湖北科技学院,无人机智慧医疗与视觉识别综合实训基地建设第一期竞争性磋商成交公告,0 1 98000 3 可视化数字孪生系统 远洋智慧K1.0 1 80,咸宁,2023-1-11,远洋智慧科技天津有限公司,295000
湖北美的洗衣机有限公司,湖北美的洗衣机有限公司 23年-荆州基地-23内-洗荆-生产-SC12-滚筒专项-数字孪生项目 拟中标结果公示,园区智慧安全环保项目,荆州,2023-6-15,美云智数科技有限公司,835000
湖北省汉江兴隆水利枢纽管理局,数字孪生汉江兴隆水利枢纽工程建设先行先试数字孪生汉江兴隆水利枢纽工程建设先行先试设计采购施工总承包（EPC）中标结果公告,,武汉,2022-12-21,湖北省水利水电规划勘测设计院、钛能科技股份有限公司、长江勘测规划设计研究有限责任公司、阿里云计算有限公司,34912205
湖北省水利厅,湖北省数字孪生流域建设方案成交结果公告,,武汉,2023-5-16,湖北省水利水电规划勘测设计院有限公司,698600
湖北省王英水库管理局,湖北省王英水库管理局信息化项目（数字孪生王英水库）中标(成交)结果公告,,黄冈,2023-2-28,武汉中地数字孪生技术有限公司,386000
湖北省无线电监测中心,湖北省无线电监测中心课题研究项目采购成交结果公告,：武汉科技大学 基于无人机采用数字孪生技术实现无线电监测可视化展示及实,武汉,2023-4-4,第1包:华中科技大学,0
湖北省自然资源厅信息中心,基于数字孪生的地下空间资源评价模型与方法研究成交结果公告,,武汉,2023-5-23,中国地质大学（武汉）,199490
湖北水翼信息技术有限公司,湖北水翼信息技术有限公司询价结果公告,化改造工程“十四五”信息化项目数字孪生仿真平台和数据中台产品 二、询价,武汉,2023-4-25,软通智慧科技技术有限公司,0
湖南省江垭和皂市水库管理处,数字孪生江垭皂市工程库区管理部分第一期实施项目,,武汉,2022-10-28,长江水利委员会长江科学院,454335
湖南省欧阳海灌区水利水电工程管理局,欧阳海灌区防汛抗旱调度中心数字孪生支撑系统成交结果公告,,湖南,2022-11-29,陕西中盛睿达信息技术有限公司,1906000
湖南省欧阳海灌区水利水电工程管理局,湖南省欧阳海灌区水利水电工程管理局欧阳海灌区防汛抗旱调度中心数字孪生支撑系统竞争性磋商成交公告,,湖南,2022-10-31,陕西中盛睿达信息技术有限公司,1906000
湖州市公安局南浔区分局,浙江求真工程管理咨询有限公司关于湖州市公安局南浔区分局实景数字孪生智慧警务平台项目的中标(成交)结果公告,,湖州,2022-12-1,,0
湖州市公安局南浔区分局,【分散采购中标公示】浙江求真工程管理咨询有限公司关于湖州市公安局南浔区分局实景数字孪生智慧警务平台项目的中标（成交）结果,,湖州,2022-12-1,湖州南浔诚品电子科技有限公司,2069000
葫芦岛市政务服务中心,渤海船舶职业学院教法改革项目结果公告,00.0000 货物类 名称：数字孪生显示器（A0201060401液,葫芦岛,2022-11-23,辽宁金晟科技股份有限公司,3874239
华北电力大学（保定,华北电力大学（保定）电工装备数字孪生仿真软件采购项目中标公告,,保定,2022-7-20,安世亚太科技股份有限公司,776000
华北电力大学（保定）,华北电力大学（保定）工创中心创客空间建设更新完善采购项目（贴息贷款）成交公告,"J55） 1 745,000 数字孪生平台等 数字孪生平台（博科系统）",保定,2022-12-20,深圳市博科系统科技有限公司,1958000
华北电力大学（保定）,华北电力大学（保定）工创中心创客空间建设更新完善采购项目（贴息贷款）成交公告,高精度3D打印机（J55）、数字孪生平台（BK-O-DTSZ-13-,河北,2022-12-20,深圳市博科系统科技有限公司,1958000
华北电力大学（保定）,华北电力大学（保定）电工装备数字孪生仿真软件采购项目中标公告,,保定,2022-7-20,安世亚太科技股份有限公司,776000
华北电力大学保定,华北电力大学（保定）电工装备数字孪生仿真软件采购项目中标公告,,北京,2022-8-9,安世亚太科技股份有限公司,776000
华北电力大学保定,【华北电力大学（保定）电工装备数字孪生仿真软件采购项目】中标结果公示,,保定,2022-7-20,安世亚太科技股份有限公司,776000
华南理工大学,华南理工大学JY材料工程化研制基地在线监测及数据化系统采购项目中标公告,生产数据化运营平台V1.0； 数字孪生； 超融合一体机； EAS工程师,广州,2023-1-17,广州博依特智能信息科技有限公司,7800000
华南理工大学,华南理工大学（先进技术研究院）深海3000米数字孪生驱动的虚拟测试系统采购项目中标公告,,广州,2023-1-13,北京云道智造科技有限公司,2762975
华南理工大学,华南理工大学五山校区工程创新中心实验室建设项目中标公告,元含视觉伺服（教学专用仪器）；数字孪生平台数据交互单元（教学专用仪器）,广州,2023-1-9,深圳市思伟奇电气有限公司,0
华南理工大学,智能制造数字孪生系统中标公告,,广州,2023-1-4,广州凡拓数字创意科技股份有限公司,1976306
华南理工大学,华南理工大学智能制造数字孪生系统（CLF0122GZ17ZC58）中标结果公告,,广州,2022-12-20,广州凡拓数字创意科技股份有限公司,1976306
华南理工大学,华南理工大学智能制造数字孪生系统（CLF0122GZ17ZC58）中标结果公告,,广东,2022-12-20,广州凡拓数字创意科技股份有限公司,1976306
华南理工大学,华南理工大学电弧增减材制造系统（CLF0122GZ18ZC57）中标结果公告,有限公司 机器人； 扫描仪； 数字孪生系统； 机器人地轨； 机器人地轨,广东,2022-12-19,南京英尼格玛工业自动化技术有限公司,9263000
华南理工大学,华南理工大学开放金属增材制造监测平台（CLF0122GZ19ZC64）中标结果公告,"MetaStar能源工业元宇宙数字孪生PaaS级工具链平台 1套 2,",广东,2022-12-19,广东元能星泰孪生科技创新有限公司,4487860
华南理工大学,华南理工大学实时定位建图与数字孪生智慧信息采集系统（CLF0122GZ18ZC43）中标结果公告,,广东,2022-12-19,上海鲲航智能科技有限公司,3117700
华南理工大学,华南理工大学电弧增减材制造系统（CLF0122GZ18ZC57）中标结果公告,尼格玛工业自动化技术有限公司 数字孪生系统 Enigma 1、lung,广州,2022-12-19,南京英尼格玛工业自动化技术有限公司,9263000
华南理工大学,华南理工大学JY材料工程化研制基地在线监测及数据化系统采购项目中标公告,"¥1,544,000.00 数字孪生 砖助 砖助数字孪生系统 1项",广州,2022-12-18,广州博依特智能信息科技有限公司,7800000
华南理工大学,华南理工大学JY材料工程化研制基地在线监测及数据化系统采购项目中标公告,生产数据化运营平台V1.0； 数字孪生； 超融合一体机； EAS工程师,广东,2022-12-18,广州博依特智能信息科技有限公司,7800000
华南理工大学,华南理工大学五山校区工程创新中心实验室建设项目中标公告,元含视觉伺服（教学专用仪器）；数字孪生平台数据交互单元（教学专用仪器）,广东,2022-12-18,广东省中科进出口有限公司,0
华南理工大学,华南理工大学（先进技术研究院）深海3000米数字孪生驱动的虚拟测试系统采购项目中标公告,,广东,2022-12-18,北京云道智造科技有限公司,2762975
华能巢湖发电有限责任公司,[华能巢湖发电有限责任公司基于锅炉数字孪生下的智慧燃烧控制系统研究] 中标结果公示,,合肥,2022-9-2,上海在伊环保科技有限公司,8087800
华数云科技有限公司,华数云产业合作伙伴入围（公共文化数字资源服务类）的招标结果公告（非政府采购）,，本包件做流标处理。 包件6：数字孪生和虚拟现实类 推荐的入围供应商：,杭州,2022-11-29,,0
华中科技大学,华中科技大学三维立体数字孪生全息展示与仿真分析系统采购项目成交公告,,湖北,2022-12-9,湖北比艾尔智能技术有限公司,868000
华中科技大学,华中科技大学产品设计与数字孪生系统采购项目成交公告,,湖北,2022-12-9,武汉高德信息产业有限公司,786600
华中科技大学土木与水利工程学院,[HF20231522]水库三维建模服务成交公告,对苗家坝、汉坪咀、碧口、麒麟寺四座水库进行BIM建模，需达到数字孪生技术要求（T/CWHIDA0006-2019）要求LOD2.0级别。注：T/CWHIDA0006-2019标准中LOD为表示模型包含信息的全面性，细致性指标，LOD2.0精度级别所包含的最小模型单元为功能级模型单元。,武汉,2023-6-28,陕西中电数通科技有限公司,120000
淮安市高级职业技术学校,淮安市高级职业技术学校省赛机器人技术应用项目赛点数字孪生平台成交公告,,淮安,2022-11-22,北京华航唯实机器人科技股份有限公司,291000
淮安市洪泽湖周边滞洪区近期建设工程建设管理领导小组办公室,洪泽湖周边滞洪区近期建设工程数字孪生工地监测系统平台(重新招标)中标公告,,江苏,2022-7-4,深圳市广汇源环境水务有限公司,1385000
淮安市洪泽湖周边滞洪区近期建设工程建设管理领导小组办公室,洪泽湖周边滞洪区近期建设工程数字孪生工地监测系统平台(重新招标),,江苏,2022-7-4,深圳市广汇源环境水务有限公司,1385000
淮河水利委员会治淮工程建设管理局,数字孪生淮河蚌埠～浮山段工程II标段—感知体系与通信网络工程,,蚌埠,2022-8-16,中梓科技有限公司(原安徽中梓实业发展有限公司),7407100
淮河水利委员会治淮工程建设管理局,数字孪生淮河蚌埠～浮山段工程I标段—云平台和数据底板建设及系统总集成,,蚌埠,2022-8-16,中水三立数据技术股份有限公司,40027260
淮河水利委员会治淮工程建设管理局,数字孪生淮河蚌埠~浮山段工程和防洪、水资源应用系统监理,,蚌埠,2022-8-2,武汉长源信息工程有限公司,1930000
黄河水利委员会信息中心,水利部数字孪生安全监控感知预警能力建设项目（一期）中标结果公告,,河南,2023-5-29,湖北长清信息系统集成有限公司,6259200
黄河水利职业技术学院,黄河水利职业技术学院6号实训楼智能展厅数字孪生可视化系统采购项目成交公告,,郑州,2023-5-19,河南驰腾电子科技有限公司,588000
黄山学院,黄山学院建筑智能建造教学实验中心设备采购项目中标结果公告,信息 货物类 第一包： 名称：数字孪生开发应用平台 品牌（如有）：鲁班,黄山,2022-12-9,安徽省新龙图贸易进出口有限公司,0
黄山学院,黄山学院数字孪生工厂软件实训平台及建筑专业机房设备采购项目第2包中标（成交）结果公告,,合肥,2022-12-6,安徽省新龙图贸易进出口有限公司,2762100
黄山学院,黄山学院数字孪生工厂软件实训平台及建筑专业机房设备采购项目第1包中标（成交）结果公告,,合肥,2022-12-6,安徽昱明科教装备有限公司,1385000
会昌县兴会科技创新集团有限责任公,赣州公正招标代理有限公司关于江西省会昌县兴会科技创新集团有限责任公司会昌氟盐新材产业数字大脑数字孪生平台与服务中心数字驾驶舱系统开发项目（项目编号：GZGZ2022-QY-G001）公开招标的成交结果公告,,赣州,2022-11-29,江西冠英智能科技股份有限公司,2764790
会泽黑颈鹤国家级自然保护区管护局,会泽黑颈鹤国家级自然保护区长海子片区‘空地一体化’电子围栏建设项目,"0 120,000.00 2 数字孪生平台 云南这里信息技术有限公司",曲靖,2022-8-31,云南这里信息技术有限公司,899800
惠安县水利局,数字孪生智慧林辋溪流域可视化系统建设项目可行性研究报告成交公告,,福建,2023-3-31,北京航天世纪规划设计院有限公司,348600
机电工程学院,中南大学机电工程学院智能制造工程训练实践教学综合平台设备采购项目（三）中标公告,00.00 7 机器人视觉控制数字孪生系统及物理机 Rbt2600 科,湖南,2022-12-23,浙江海特智能科技有限公司,3952000
吉林大学,吉林大学车云融合数字孪生仿真平台采购项目中标公告,,吉林,2022-12-9,北京五一视界数字孪生科技股份有限公司,5500000
吉林大学,吉林大学透明地球数字孪生系统采购项目中标公告,,吉林,2022-12-9,吉林省敬信科技有限公司,2947833
吉林交通职业技术学院,吉林交通职业技术学院智能化物流仓储无人仓项目中标公告,6000 316000 35 数字孪生仓储规划实训平台 数字孪生仓储规,长春,2022-11-25,吉林省吉航智控通讯技术有限公司,8801815
吉林交通职业技术学院,[公开招标]智能化物流仓储无人仓,6000 316000 35 数字孪生仓储规划实训平台 数字孪生仓储规,长春,2022-11-25,吉林省吉航智控通讯技术有限公司,8801815
吉林交通职业技术学院,吉林交通职业技术学院智能化物流仓储无人仓中标结果公告,6000 316000 35 数字孪生仓储规划实训平台 数字孪生仓储规,长春,2022-11-25,吉林省吉航智控通讯技术有限公司,8801815
吉林交通职业技术学院,吉林交通职业技术学院智能化物流仓储无人仓中标公告,8790 298790 36 数字孪生仓储规划实训平台 详见投标文件,长春,2022-9-5,锦州联讯计算机技术服务有限公司,8731600
集美大学,集美大学计算机工程学院软件工程平台-1结果公告(包1),1080302 行业应用软件 数字孪生底座平台 罗普特 定制 1 套,厦门,2022-12-26,罗普特(厦门)系统集成有限公司,6393940
集美大学,集美大学轮机工程学院“育德轮”智能化教学与科研数据支撑平台结果公告(包2),33114 船舶制造专用设备 数字孪生船舶柴油机机舱漫游模块 创壹 V,厦门,2022-12-23,厦门凤凰创壹软件有限公司,0
集美大学,集美大学航海学院智慧港口与交通物流应急管控平台结果公告(包1),软件开发服务 集装箱自动化码头数字孪生系统 详见投标文件技术商务部分,厦门,2022-12-23,北京现代中欧软件开发有限公司,0
济南高新产业发展有限公司,“达-睿思”智慧园区综合管理系统数字孪生、智慧策划模块采购中标公示,,济南,2022-12-9,深圳市讯通天煜科技有限公司,0
济南高新区齐鲁软件园发展中心,济南高新区齐鲁软件园发展中心济南高新区齐鲁软件园发展中心基地智慧管理数字孪生项目二期升级项目中标公告,,济南,2023-6-30,霍洛普(山东)数字科技有限公司,2790000
济南森源控股有限公司,中标结果公示,207055003 包1 基于数字孪生的运维与决策系统 山东盈天能源科,济南,2022-8-1,陕西公众智能科技有限公司,0
济南市水文中心,济南市水文中心利用数字孪生流域技术实现智慧水文研究项目成交公告,,山东,2023-4-4,济南大学,295000
济南市自然资源和规划局,济南市特大城市地面沉降风险评估与区划项目,院 2019-12-31 4 数字孪生城市四维可视化信息系统及其在济南,济南,2022-10-17,山东省地质调查院(山东省自然资源厅矿产勘查技术指导中心),1900000
济南职业学院,济南职业学院济南职业学院机械学院实训室项目中标公告,1 基于工业互联网平台的生产线数字孪生系统项目――离散行业数字孪生建模,济南,2022-7-12,上海明材数字科技有限公司,1496500
济南职业学院,济南职业学院机械学院实训室项目,1 基于工业互联网平台的生产线数字孪生系统项目——离散行业数字孪生建模,济南,2022-7-12,上海明材数字科技有限公司,1496500
济南职业学院,济南职业学院济南职业学院1+x物联网通信实训室项目中标公告,0山东协力合智通信科技有限公司数字孪生一体机MAXHUB广州CF98M,济南,2022-7-7,,85000
济南职业学院,济南职业学院1+x物联网通信实训室项目,山东协力合智通信科技有限公司 数字孪生一体机 MAXHUB 广州 CF,济南,2022-7-5,山东协力合智通信科技有限公司,939688
济宁职业技术学院,济宁职业技术学院济宁职业技术学院数字孪生技术应用文件柜采购项目成交公告,,山东,2022-11-30,济宁鹿鸣信息科技有限公司,3400
济宁职业技术学院,济宁职业技术学院数字孪生技术应用虚拟仿真实训室建设项目中标（成交）公告,,济宁,2022-11-29,北京华航唯实机器人科技股份有限公司,1227000
济宁职业技术学院,济宁职业技术学院数字孪生技术应用虚拟仿真实训室建设项目,,济宁,2022-11-29,北京华航唯实机器人科技股份有限公司,1227000
暨南大学,暨南大学珠海校区能源电力研究中心实验室更新改造项目中标公告,服务器及液冷工作站； 储能系统数字孪生计算平台； 储能电池滥用试验系统,广东,2023-5-17,深圳市上德机电有限公司,0
暨南大学,暨南大学珠海校区能源电力研究中心实验室更新改造项目中标公告,"94,000.00 储能系统数字孪生计算平台 工作站：联想 P20",广州,2023-5-17,深圳市上德机电有限公司,0
嘉善县自然资源和规划局,浙江勋达工程咨询有限公司关于2023年“一测多用”城市数字孪生实体更新项目（2023年县域1：2000 3D产品更新）中标(成交)结果公告,,嘉兴,2023-6-25,浙江省测绘科学技术研究院,5891650
嘉兴市水利局,扩大杭嘉湖南排后续东部通道（南台头干河整治工程）数字孪生建设专题研究,,嘉兴,2022-10-26,浙江省水利水电技术咨询中心,582000
嘉兴市水利局,扩大杭嘉湖南排后续东部通道（南台头干河整治工程）数字孪生建设专题研究,,嘉兴,2022-10-26,浙江省水利水电技术咨询中心,582000
江航道局,基于数字孪生航道的长江干线通航保障关键技术研究及示范应用成交公告,,武汉,2023-4-25,长江航道测量(武汉)中心,1160000
江门市技师学院,江门市技师学院综合性公共实训基地教学及实训设备采购结果公告,-10 其他计算机 焊接机器人数字孪生虚拟控制器 海康威视 DS-D5,江门,2023-4-4,深圳国匠云职业教育科技有限公司,938000
江苏交通控股有限公司,江苏交控2022年度路网视频监控加密工程竣工决算审计,、软件平台的建设，以及视频拼接数字孪生试点建设，项目概算金额7247.,南京,2022-12-29,江苏鼎玺会计师事务所有限公司,319000
江苏交通控股有限公司,江苏交控2022年度路网视频监控加密工程竣工决算审计中标候选人公示,、软件平台的建设，以及视频拼接数字孪生试点建设，项目概算金额7247.,南京,2022-12-26,江苏鼎玺会计师事务所有限公司,0
江苏省财政厅财政信息管理中心,江苏省预算管理一体化系统监控展示平台建设项目中标结果公告,示平台建设项目 服务范围：基于数字孪生和万物互联的理念，成熟、先进、实,江苏,2023-3-3,北京优锘科技有限公司,677945
江苏省测绘研究所,无锡经开区智慧城市一期项目数字孪生建设服务采购项目成交公告,,无锡,2023-1-19,南京叁诺信息技术有限公司,0
江苏省防汛防旱抢险中心,基于数字孪生的防汛物资仓管平台成交公告,,南京,2022-8-15,北京金水信息技术发展有限公司,988000
江苏省灌溉总渠管理处,数字孪生淮阴抽水站建设项目招标公告,,南京,2023-6-21,,0
江苏省淮沭新河管理处,滨海抽水站数字孪生模块建设项目成交公告,,南京,2023-5-22,南京恒创智云计算科技有限公司,910000
江苏省淮沭新河管理处,淮沭河（含沭阳闸）数字孪生底座项目成交公告,,南京,2023-5-22,江苏禹数信息技术有限公司,844000
江苏省如东中等专业学校,江苏省如东中等专业学校数字孪生实训平台采购项目 中标（成交）结果公告,,南通,2023-3-24,北京华航唯实机器人科技股份有限公司,28500
江苏省水旱灾害防御调度指挥中心,引江济太通道数字孪生工程融合试点成交公告,,南京,2022-8-11,水利部交通运输部国家能源局南京水利科学研究院,480000
江苏省水文水资源勘测局,江苏省水利地理信息服务平台运维服务中标公告,务系统和用户对空间数据使用，为数字孪生流域建设提供支持，现对江苏省水利,南京,2023-4-6,,0
江苏省苏州技师学院,江苏省苏州技师学院关于智能控制实训中心竞争性谈判成交公告,价/元 1 工业以太网综合控制数字孪生应用平台 三向 SX-601L,苏州,2022-11-23,上海三向教育设备有限公司,2643100
江苏省泰州引江河管理处,里下河数字孪生水网决策场景需求分析及移动端应用开发成交结果公告,,泰州,2023-2-27,钛能科技股份有限公司,270000
江苏省无锡技师学院,购买工业4.0网络及产线数字孪生系统项目实训设备（第二次）预成交结果公示,,无锡,2022-12-8,上海犀浦智能系统有限公司,252000
江苏思极科技服务有限公司镇江分公司,江苏思极科技服务有限公司镇江分公司2023年数字孪生仓库自动化设备对接技术咨询服务,,镇江,2023-6-25,详见其他,0
江苏祥泰电力实业有限公司,江苏祥泰电力实业有限公司2022年07月第一批次物资公开竞争性谈判项目成交结果公告,-B-WZ-0701-009 数字孪生全体系建设项目配套物资采购 包9,扬州,2022-7-25,众芯汉创(北京)科技有限公司,0
江苏兴旺物流有限公司,泰州港靖江港区新港作业区深国际物流中心码头工程生产可视化系统技术开发项目（SGJMT-KSHXT标段）评标结果公示,,泰州,2023-6-21,杭州玳数科技有限公司,1381340
江苏移动,紫金研究院2022年关于网络数字孪生系统研发服务项目_中选结果公示,,江苏,2022-11-18,浪潮通信信息系统有限公司,0
江西供销大数据有限公司,江西骏宏招标咨询有限公司关于江西供销大数据有限公司冷链物流应急管理平台采购项目（项目编号：JXJH2022-XA025）公开招标中标结果公告,理人员巡检工作效率和质量。基于数字孪生环境展开在线应急处置培训，制定数,南昌,2022-12-27,广东云钜网络科技有限公司,498000
江西省伯洋科技有限公司,福建京闽管理咨询服务有限公司关于园区数字孪生建设服务项目成交公告,,福建,2022-11-25,中国联合网络通信有限公司泉州市分公司,5001050
江西省赣抚平原水利工程管理局,江西合胜合招标咨询有限公司关于江西省赣抚平原数字孪生灌区先行先试项目设计（项目编号:HSH2022ZC143）竞争性磋商成交公告,,江西,2023-1-12,中国灌溉排水发展中心,514000
江西省机电设备招标有限公司,[省本级][线下]江西省机电设备招标有限公司关于华东交通大学数字孪生校园采购项目（项目编号：JXTC2022201555）竞争性磋商结果公告,,南昌,2022-12-22,中国移动通信集团江西有限公司南昌分公司,1600000
江西省水利厅,江西省鼎跃招标咨询有限公司关于江西省数字孪生流域建设总体方案编制项目（采购编号：JXDY2023-FW-C0006-1）竞争性磋商成交结果公告,,江西,2023-5-24,长江水利委员会网络与信息中心,482000
江西省水利厅,[省本级][线下]江西省鼎跃招标咨询有限公司关于江西省数字孪生流域建设总体方案编制项目（采购编号：JXDY2023-FW-C0006-1）竞争性磋商成交结果公告,,南昌,2023-5-23,长江水利委员会网络与信息中心,482000
江西省水利厅,江西省鼎跃招标咨询有限公司关于江西省智慧水利（一期）初步设计方案编制项目(采购编号：JXDY2022-FW-C0015)竞争性磋商成交结果公告,建设管理办法》规定，结合水利部数字孪生流域建设要求，编制初步设计方案,南昌,2022-8-9,江西省水利科学院,1588000
江西移动,中移(江西)虚拟现实科技有限公司2022年数字孪生综治产品（一期）开发服务采购项目_中选结果公示,,江西,2022-10-10,亚信科技（中国）有限公司,0
交通工程系办公室,交通工程系办公室 三相映射交通数字孪生集成系统（子系统12，城市级智...,,上海,2023-5-8,上海苏通信息科技有限公司,985000
交通工程系办公室,交通工程系办公室 三相映射数字孪生集成系统（子系统4，城市级智慧停车...,,上海,2023-3-21,上海乾丰新能源科技有限公司,493800
交通信息工程系办公室,交通信息工程系办公室 三相映射交通数字孪生集成系统(子系统3-自动驾...,,上海,2023-3-26,北京五毫秒科技有限公司,1962000
交通运输部科学研究院,交通运输部科学研究院交通虚拟现实与数字孪生实验平台设备购置中标公告,,北京,2023-6-6,北京津发科技股份有限公司,5327000
金川县文化体育和旅游局,金川县文化体育和旅游局金川县安宁镇数字乡村（二期）平台服务采购项目竞争性磋商成交公告,,阿坝,2023-6-29,联通(四川)产业互联网有限公司,3465000
金华市金东区大数据发展中心,关于金东区终端设备安全数字孪生驾驶舱建设项目的成交结果公告（非政府采购）,,金华,2022-11-10,浙江中控信息产业股份有限公司,195000
晋中市第一人民医院,晋中市第一人民医院卒中一体化防治建设项目（智能脑卒中预防筛查系统、无干扰绿道质控系统、慢病数字孪生管理平台及配套设施）成交公告,,山西,2023-5-19,国药控股山西晋中有限公司,1560000
景弘集团有限公司,景弘集团安全生产应急指挥业务软件采购项目中标候选人公示（暨中标结果公示）,务应用、数字孪生可视化应用等项目主体功能开发；8个月内完成项目初验；1,福州,2023-3-29,上海瀚正信息科技股份有限公司,9280000
九江职业大学,九江职业大学智能制造学院高水平智能制造数字孪生实训基地采购项目成交公告,,江西,2022-11-21,山东栋梁科技设备有限公司,3268200
喀什地区莫莫克水利枢纽工程建设管理局,提孜那甫河莫莫克水利枢纽工程数字孪生安全监测系统[中标公示],,喀什,2023-6-12,中国水利水电科学研究院,3175150
喀什地区莫莫克水利枢纽工程建设管理局,提孜那甫河莫莫克水利枢纽工程数字孪生安全监测系统[中标公示],,喀什,2023-6-9,中国水利水电科学研究院,3175150
科右前旗农田水利工程建设管理处,察尔森灌区好田灌域数字孪生节水配套与现代化改造试点项目,,兴安盟,2023-6-19,内蒙古征蓬工程建设有限公司,5206169
控制科学与工程学院,数字孪生快速开发平台（GY202210069）成交结果公告,,山东,2022-12-21,山东银禾智联信息科技有限公司,377500
